,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
10,Very often or always true (5),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Often true (4),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Sometimes true (3),Very often or always true (5),4.7,4.0,2.4,2.9,15,male,adolescence
11,Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Rarely true (2),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Often true (4),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),3.5,3.1,1.9,1.2,31,female,early adulthood
12,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.6,3.5,3.2,3.1,19,male,early adulthood
13,Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),4.7,3.8,3.4,3.7,28,male,early adulthood
14,Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),4.5,5.0,4.9,3.9,24,male,early adulthood
15,Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),3.3,4.2,4.7,3.7,85,male,late adulthood
16,Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Often true (4),3.8,3.8,3.2,3.1,45,male,late middle age
17,Sometimes true (3),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),3.3,2.4,1.7,2.4,54,female,late middle age
18,Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),4.3,3.1,2.7,2.9,15,female,adolescence
19,Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),5.0,3.5,1.0,2.6,24,female,early adulthood
20,Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),3.9,3.9,4.9,3.6,70,female,late adulthood
21,Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Very often or always true (5),4.3,4.6,3.0,2.8,41,female,early middle age
22,Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Never or very rarely true (1),Often true (4),4.0,3.0,2.7,1.8,24,male,early adulthood
23,Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Never or very rarely true (1),2.5,3.0,1.9,3.3,44,female,early middle age
24,Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),3.7,3.8,2.9,2.8,33,male,early adulthood
25,Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),3.5,2.6,3.1,2.8,30,female,early adulthood
26,Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),2.2,3.2,2.2,3.2,49,male,late middle age
27,Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),4.1,3.8,2.2,2.8,35,male,early middle age
28,Very often or always true (5),Often true (4),Sometimes true (3),Never or very rarely true (1),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),4.7,4.1,1.9,3.6,53,female,late middle age
29,Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),2.7,4.5,3.7,3.7,49,male,late middle age
30,Sometimes true (3),,Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),2.7,3.4,3.9,3.7,39,male,early middle age
31,Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),3.7,4.6,3.1,2.7,26,female,early adulthood
32,Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),3.4,4.9,3.3,2.7,27,male,early adulthood
33,Often true (4),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Often true (4),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),2.3,2.9,1.3,2.1,17,female,adolescence
34,Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),3.0,4.0,2.6,2.9,21,male,early adulthood
35,Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),3.5,2.9,3.0,3.1,36,male,early middle age
36,Often true (4),Sometimes true (3),Never or very rarely true (1),Often true (4),Often true (4),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),4.6,3.5,1.9,3.4,59,male,late middle age
37,Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),3.4,2.5,2.7,2.1,23,male,early adulthood
38,Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),3.1,4.4,4.8,3.1,59,female,late middle age
